t,L2_error,Linf_error,N_points
0.000000e+00,1.421910e-03,3.239825e-03,3000
2.000000e-01,1.460326e-03,4.311442e-03,3000
4.000000e-01,8.509249e-04,2.356857e-03,3000
6.000000e-01,1.901548e-03,2.706364e-03,3000
8.000000e-01,4.108691e-04,1.042292e-03,3000
1.000000e+00,1.685110e-03,3.105476e-03,3000
